class;bugsUntil;bugsAfter;RFC;WMC;CBO;DIT;LCOM;NOC;NoPubAttr;NoPubMeth;numAttrInh;NoM;NoLoC;NoMInh;NoPrivAttr;NoPrivMeth;FanIn;FanOut
org::eclipse::jdt::internal::codeassist::complete::CompletionOnMethodName ;0;0; 16.0; 9.0;6;4;3;0; 1.0;3;410; 3.0; 31.0;66;0;0;1;5
org::eclipse::jdt::core::dom::ClassInstanceCreation ;14;0; 104.0; 54.0;8;3;276;0; 0.0;12;95; 24.0; 208.0;73;8;0;2;7
org::eclipse::jdt::internal::core::builder::MissingSourceFileException ;0;0; 1.0; 1.0;1;1;0;0; 0.0;1;0; 1.0; 3.0;23;1;0;1;0
org::eclipse::jdt::internal::compiler::env::EnumConstantSignature ;0;0; 8.0; 4.0;5;1;6;0; 2.0;4;0; 4.0; 17.0;8;0;0;4;1
org::eclipse::jdt::internal::compiler::ast::TypeReference ;16;0; 72.0; 48.0;43;4;153;3; 0.0;14;384; 18.0; 144.0;69;0;0;36;10
org::eclipse::jdt::internal::compiler::impl::CompilerStats ;0;0; 4.0; 4.0;3;1;3;0; 7.0;3;0; 3.0; 9.0;8;0;0;3;0
org::eclipse::jdt::internal::codeassist::select::SelectionScanner ;1;0; 7.0; 10.0;3;2;3;0; 3.0;3;219; 3.0; 31.0;55;0;0;1;2
org::eclipse::jdt::core::dom::PackageDeclaration ;11;0; 66.0; 36.0;13;2;136;0; 1.0;7;95; 17.0; 130.0;68;4;0;7;7
org::eclipse::jdt::internal::compiler::ast::CaseStatement ;15;0; 46.0; 34.0;13;3;21;0; 2.0;7;380; 7.0; 96.0;38;0;0;2;11
org::eclipse::jdt::internal::compiler::ASTVisitor ;3;0; 3.0; 3.0;2;1;3;18; 0.0;3;0; 3.0; 9.0;8;0;0;2;0
org::eclipse::jdt::internal::compiler::ast::Literal ;0;0; 13.0; 5.0;7;4;21;3; 0.0;7;384; 7.0; 25.0;69;0;0;6;2
org::eclipse::jdt::internal::compiler::lookup::ProblemFieldBinding ;3;0; 2.0; 2.0;8;4;1;0; 1.0;2;35; 2.0; 9.0;47;1;0;8;0
org::eclipse::jdt::internal::core::search::matching::PatternLocator ;44;1; 157.0; 209.0;27;1;300;11; 1.0;9;39; 25.0; 580.0;8;0;0;15;24
org::eclipse::jdt::internal::codeassist::impl::Engine ;20;1; 45.0; 59.0;12;1;36;2; 12.0;6;0; 9.0; 230.0;9;0;1;2;10
org::eclipse::jdt::internal::core::SingleTypeRequestor ;0;0; 10.0; 9.0;0;1;45;0; 0.0;9;0; 10.0; 27.0;15;0;0;0;0
org::eclipse::jdt::core::dom::ASTConverter ;196;1; 680.0; 470.0;55;1;2080;0; 3.0;10;0; 65.0; 1947.0;8;1;5;2;53
org::eclipse::jdt::internal::compiler::ast::QualifiedAllocationExpression ;25;1; 153.0; 117.0;22;5;36;2; 2.0;9;392; 9.0; 414.0;93;0;0;2;20
org::eclipse::jdt::internal::core::search::matching::VariablePattern ;4;0; 3.0; 12.0;2;4;1;2; 0.0;1;61; 2.0; 34.0;45;0;0;1;1
org::eclipse::jdt::internal::core::search::JavaSearchScope ;34;1; 111.0; 79.0;14;3;91;0; 0.0;6;5; 14.0; 289.0;21;9;7;3;11
org::eclipse::jdt::internal::compiler::util::SimpleSet ;0;0; 27.0; 36.0;24;1;45;0; 3.0;9;0; 10.0; 103.0;16;0;1;21;3
org::eclipse::jdt::internal::core::jdom::DOMMember ;2;0; 61.0; 33.0;10;3;210;4; 0.0;4;38; 21.0; 146.0;118;0;0;4;6
org::eclipse::jdt::internal::core::jdom::DOMMethod ;6;0; 162.0; 104.0;13;4;780;0; 0.0;23;50; 40.0; 404.0;189;0;0;2;11
org::eclipse::jdt::internal::codeassist::select::SelectionOnLocalName ;2;0; 16.0; 5.0;4;5;6;0; 0.0;4;397; 4.0; 24.0;64;0;0;1;3
org::eclipse::jdt::internal::compiler::ast::Javadoc ;48;3; 172.0; 269.0;24;2;55;3; 8.0;5;380; 11.0; 708.0;27;0;5;8;17
org::eclipse::jdt::core::dom::TypeBinding ;89;1; 361.0; 271.0;22;2;1653;0; 1.0;57;6; 58.0; 952.0;67;12;1;1;22
org::eclipse::jdt::core::search::SearchRequestor ;1;0; 5.0; 4.0;2;1;10;1; 0.0;5;0; 5.0; 12.0;8;0;0;2;0
org::eclipse::jdt::core::dom::ContinueStatement ;6;0; 35.0; 16.0;4;3;66;0; 0.0;3;95; 12.0; 59.0;73;2;0;1;3
org::eclipse::jdt::internal::core::builder::AdditionalTypeCollection ;0;1; 1.0; 1.0;1;2;0;0; 1.0;0;10; 1.0; 4.0;13;0;0;1;0
org::eclipse::jdt::core::JavaModelException ;3;0; 30.0; 12.0;38;1;15;0; 1.0;6;0; 6.0; 52.0;0;1;0;33;5
org::eclipse::jdt::internal::core::builder::StringSet ;2;0; 13.0; 19.0;4;1;15;0; 3.0;5;0; 6.0; 56.0;8;0;1;3;1
org::eclipse::jdt::core::search::PackageDeclarationMatch ;0;0; 1.0; 1.0;1;2;0;0; 0.0;1;2; 1.0; 3.0;33;0;0;1;0
org::eclipse::jdt::internal::core::CreatePackageFragmentOperation ;9;0; 48.0; 21.0;8;2;6;0; 0.0;2;18; 4.0; 83.0;62;0;0;1;8
org::eclipse::jdt::internal::core::util::ClassFileReader ;5;0; 66.0; 64.0;12;2;253;0; 0.0;22;8; 23.0; 285.0;40;23;1;1;11
org::eclipse::jdt::internal::compiler::ast::ArrayReference ;10;0; 70.0; 37.0;9;5;55;0; 2.0;11;384; 11.0; 158.0;77;0;0;1;8
org::eclipse::jdt::internal::formatter::comment::HTMLEntity2JavaReader ;4;0; 25.0; 13.0;7;2;6;0; 0.0;1;0; 4.0; 44.0;39;1;1;2;5
org::eclipse::jdt::internal::core::BinaryMethod ;31;1; 241.0; 118.0;32;7;465;1; 0.0;22;69; 31.0; 529.0;240;0;4;3;31
org::eclipse::jdt::internal::core::search::matching::ImportMatchLocatorParser ;2;0; 13.0; 10.0;1;3;10;0; 1.0;0;405; 5.0; 28.0;73;0;0;1;0
org::eclipse::jdt::core::dom::MethodRef ;3;0; 60.0; 28.0;8;2;136;0; 0.0;7;95; 17.0; 109.0;68;4;0;3;6
org::eclipse::jdt::internal::core::util::ReferenceInfoAdapter ;1;0; 6.0; 6.0;0;1;15;3; 0.0;6;0; 6.0; 18.0;8;0;0;0;0
org::eclipse::jdt::internal::core::RenameResourceElementsOperation ;2;0; 12.0; 9.0;6;5;6;0; 0.0;1;37; 4.0; 28.0;88;0;0;2;4
org::eclipse::jdt::core::dom::ASTMatcher ;11;0; 19.0; 19.0;4;1;15;0; 0.0;5;0; 6.0; 52.0;8;1;1;1;4
org::eclipse::jdt::core::WorkingCopyOwner ;3;0; 13.0; 4.0;10;1;10;2; 0.0;5;0; 5.0; 17.0;8;0;0;6;5
org::eclipse::jdt::core::compiler::ReconcileContext ;4;0; 26.0; 14.0;5;1;36;0; 0.0;9;0; 9.0; 44.0;8;2;0;1;5
org::eclipse::jdt::core::ClasspathContainerInitializer ;4;0; 21.0; 13.0;4;1;45;1; 0.0;10;0; 10.0; 69.0;8;0;0;3;1
org::eclipse::jdt::internal::core::Annotation ;1;1; 30.0; 16.0;10;4;55;2; 0.0;9;52; 11.0; 56.0;128;0;0;6;5
org::eclipse::jdt::internal::core::jdom::AbstractDOMBuilder ;2;0; 22.0; 22.0;5;2;36;2; 0.0;6;0; 9.0; 82.0;15;0;0;2;3
org::eclipse::jdt::internal::eval::Evaluator ;9;0; 25.0; 7.0;7;1;21;2; 5.0;0;0; 7.0; 104.0;8;0;0;3;5
org::eclipse::jdt::internal::formatter::comment::JavaDocRegion ;6;0; 110.0; 51.0;13;3;91;0; 0.0;1;58; 14.0; 231.0;34;3;5;1;12
org::eclipse::jdt::core::dom::VariableBinding ;32;0; 90.0; 71.0;16;2;231;0; 0.0;20;6; 22.0; 232.0;30;8;1;1;16
org::eclipse::jdt::internal::compiler::problem::DefaultProblem ;11;0; 31.0; 58.0;4;2;190;0; 0.0;20;563; 20.0; 164.0;24;11;0;2;2
org::eclipse::jdt::core::util::ClassFormatException ;0;0; 1.0; 1.0;0;1;0;0; 0.0;1;0; 1.0; 3.0;22;1;0;0;0
org::eclipse::jdt::internal::core::builder::IncrementalImageBuilder ;39;1; 322.0; 215.0;24;2;210;0; 1.0;2;19; 21.0; 706.0;37;0;0;2;23
org::eclipse::jdt::internal::codeassist::select::SelectionOnNameOfMemberValuePair ;0;0; 8.0; 4.0;2;3;3;0; 0.0;3;384; 3.0; 17.0;31;0;0;1;1
org::eclipse::jdt::internal::core::SourceRefElement ;15;0; 83.0; 50.0;29;3;351;7; 1.0;21;35; 27.0; 171.0;76;0;0;19;13
org::eclipse::jdt::internal::codeassist::select::SelectionOnQualifiedSuperReference ;1;0; 10.0; 5.0;3;8;3;0; 0.0;3;386; 3.0; 16.0;103;0;0;1;2
org::eclipse::jdt::internal::core::NonJavaResource ;1;0; 32.0; 24.0;6;2;78;0; 0.0;12;0; 13.0; 77.0;5;1;0;1;5
org::eclipse::jdt::internal::core::hierarchy::HierarchyBinaryType ;6;0; 61.0; 44.0;6;3;231;0; 0.0;22;5; 22.0; 154.0;27;8;0;0;6
org::eclipse::jdt::internal::codeassist::complete::CompletionOnFieldName ;2;0; 13.0; 5.0;4;5;3;0; 1.0;3;400; 3.0; 20.0;65;1;0;1;3
org::eclipse::jdt::internal::compiler::impl::FloatConstant ;1;0; 14.0; 12.0;4;2;66;0; 1.0;11;152; 12.0; 36.0;41;0;1;4;0
org::eclipse::jdt::internal::compiler::codegen::FloatCache ;1;0; 17.0; 32.0;4;1;15;0; 0.0;6;0; 6.0; 88.0;8;3;0;1;3
org::eclipse::jdt::internal::compiler::parser::SourceTypeConverter ;28;0; 57.0; 51.0;21;2;15;0; 0.0;1;3; 6.0; 209.0;12;5;5;5;16
org::eclipse::jdt::internal::core::search::matching::ClassFileMatchLocator ;15;1; 215.0; 162.0;29;1;136;0; 0.0;3;39; 17.0; 462.0;8;2;8;1;29
org::eclipse::jdt::internal::core::VerboseElementCache ;0;0; 19.0; 7.0;10;4;3;0; 0.0;2;11; 3.0; 27.0;64;2;0;1;9
org::eclipse::jdt::internal::core::BinaryTypeConverter ;8;0; 57.0; 52.0;16;2;15;0; 0.0;3;3; 6.0; 216.0;12;2;3;1;15
org::eclipse::jdt::internal::compiler::util::CompoundNameVector ;1;0; 17.0; 16.0;4;1;28;0; 4.0;8;0; 8.0; 50.0;8;0;0;1;3
org::eclipse::jdt::core::dom::PackageBinding ;18;0; 61.0; 43.0;16;2;105;0; 0.0;13;6; 15.0; 155.0;23;7;1;1;15
org::eclipse::jdt::internal::formatter::comment::MultiCommentLine ;2;0; 126.0; 84.0;6;2;66;1; 0.0;0;55; 12.0; 276.0;27;2;2;1;6
org::eclipse::jdt::internal::core::JavaCorePreferenceInitializer ;22;0; 25.0; 3.0;4;1;0;0; 0.0;1;0; 1.0; 73.0;0;0;0;0;4
org::eclipse::jdt::internal::compiler::codegen::VerificationTypeInfo ;4;0; 33.0; 43.0;4;1;45;0; 2.0;10;0; 10.0; 156.0;8;2;0;2;2
org::eclipse::jdt::internal::compiler::ast::QualifiedThisReference ;4;0; 27.0; 17.0;12;6;15;1; 2.0;6;384; 6.0; 76.0;91;0;0;1;11
org::eclipse::jdt::internal::codeassist::complete::CompletionOnJavadocParamNameReference ;7;0; 8.0; 6.0;2;8;10;0; 3.0;5;429; 5.0; 17.0;120;0;0;1;1
org::eclipse::jdt::core::dom::MethodBinding ;59;0; 85.0; 86.0;14;2;465;0; 0.0;29;6; 31.0; 290.0;39;14;1;1;14
org::eclipse::jdt::internal::compiler::ast::ConstructorDeclaration ;40;3; 145.0; 118.0;33;3;105;0; 2.0;14;408; 15.0; 437.0;58;0;1;6;29
org::eclipse::jdt::internal::core::CreateCompilationUnitOperation ;10;0; 58.0; 19.0;14;2;10;0; 0.0;2;18; 5.0; 87.0;62;0;0;2;12
org::eclipse::jdt::core::CorrectionEngine ;6;1; 31.0; 24.0;7;1;15;0; 0.0;4;15; 6.0; 128.0;8;0;2;0;7
org::eclipse::jdt::internal::core::search::matching::VariableLocator ;2;1; 13.0; 15.0;4;2;6;2; 0.0;3;68; 4.0; 36.0;33;0;0;1;3
org::eclipse::jdt::internal::compiler::batch::ClasspathDirectory ;9;0; 63.0; 41.0;8;2;66;0; 0.0;9;18; 12.0; 136.0;18;4;0;1;7
org::eclipse::jdt::internal::core::index::MemoryIndex ;2;0; 36.0; 35.0;7;1;21;0; 5.0;0;0; 7.0; 99.0;8;0;0;1;7
org::eclipse::jdt::internal::compiler::ast::SwitchStatement ;19;1; 99.0; 79.0;21;3;21;0; 13.0;7;380; 7.0; 334.0;38;0;0;2;19
org::eclipse::jdt::internal::core::search::indexing::InternalSearchDocument ;4;1; 10.0; 7.0;2;1;6;1; 2.0;3;0; 4.0; 16.0;8;1;1;1;1
org::eclipse::jdt::core::dom::BindingResolver ;23;0; 35.0; 35.0;26;1;595;1; 0.0;2;0; 35.0; 105.0;8;0;0;26;0
org::eclipse::jdt::internal::compiler::codegen::StackMapFrame ;8;0; 52.0; 89.0;4;1;105;0; 6.0;12;0; 15.0; 325.0;8;2;3;1;3
org::eclipse::jdt::internal::core::AnnotationInfo ;1;0; 1.0; 0.0;1;3;0;0; 3.0;1;4; 1.0; 0.0;19;0;0;1;0
org::eclipse::jdt::internal::compiler::classfmt::ClassFormatException ;2;0; 11.0; 7.0;1;1;10;0; 0.0;5;0; 5.0; 29.0;22;5;0;1;0
org::eclipse::jdt::internal::core::builder::ClasspathDirectory ;6;0; 42.0; 32.0;9;2;78;1; 5.0;9;0; 13.0; 101.0;18;0;0;3;6
org::eclipse::jdt::internal::compiler::classfmt::MethodInfoWithParameterAnnotations ;0;0; 14.0; 17.0;4;4;10;0; 0.0;1;14; 5.0; 35.0;60;1;0;1;3
org::eclipse::jdt::internal::core::builder::ClasspathMultiDirectory ;3;0; 11.0; 16.0;5;3;6;0; 4.0;2;5; 4.0; 33.0;31;0;0;2;3
org::eclipse::jdt::internal::compiler::lookup::TypeBinding ;56;3; 197.0; 273.0;128;2;1596;3; 2.0;54;28; 57.0; 773.0;16;0;2;126;11
org::eclipse::jdt::internal::compiler::flow::LabelFlowContext ;3;0; 10.0; 7.0;4;3;6;0; 1.0;3;143; 4.0; 23.0;40;0;0;1;3
org::eclipse::jdt::internal::compiler::ast::AssertStatement ;9;2; 63.0; 32.0;18;3;21;0; 3.0;7;380; 7.0; 163.0;38;1;0;1;17
org::eclipse::jdt::internal::core::search::matching::TypeReferencePattern ;21;1; 20.0; 16.0;2;5;36;1; 1.0;5;61; 9.0; 54.0;49;3;0;0;2
org::eclipse::jdt::core::search::TypeNameMatchRequestor ;3;0; 1.0; 0.0;2;1;0;0; 0.0;1;0; 1.0; 0.0;8;0;0;2;0
org::eclipse::jdt::internal::codeassist::select::SelectionOnPackageReference ;0;0; 7.0; 4.0;2;3;1;0; 0.0;2;387; 2.0; 11.0;32;0;0;1;1
org::eclipse::jdt::core::BindingKey ;7;0; 46.0; 18.0;7;1;78;0; 0.0;13;0; 13.0; 82.0;8;1;0;2;5
org::eclipse::jdt::internal::compiler::ast::JavadocReturnStatement ;13;0; 16.0; 10.0;6;4;6;0; 0.0;4;384; 4.0; 29.0;48;0;0;2;4
org::eclipse::jdt::internal::eval::CodeSnippetAllocationExpression ;13;1; 73.0; 49.0;13;5;10;0; 2.0;5;421; 5.0; 184.0;93;0;0;1;12
org::eclipse::jdt::internal::compiler::env::AccessRule ;2;0; 19.0; 12.0;7;1;15;1; 2.0;6;0; 6.0; 39.0;8;0;0;5;2
org::eclipse::jdt::internal::core::jdom::DOMBuilder ;10;0; 114.0; 85.0;9;3;406;0; 1.0;23;8; 29.0; 368.0;41;0;0;2;8
org::eclipse::jdt::internal::core::search::matching::TypeParameterPattern ;6;0; 32.0; 13.0;13;4;3;0; 0.0;2;61; 3.0; 61.0;45;0;0;1;12
org::eclipse::jdt::internal::core::util::InnerClassesAttributeEntry ;0;0; 21.0; 14.0;4;2;28;0; 0.0;8;0; 8.0; 49.0;26;7;0;1;3
org::eclipse::jdt::core::dom::ASTSyntaxErrorPropagator ;6;0; 14.0; 8.0;3;2;3;0; 0.0;1;0; 3.0; 62.0;13;1;1;1;2
org::eclipse::jdt::internal::codeassist::complete::CompletionOnFieldType ;1;0; 4.0; 3.0;2;5;1;0; 1.0;2;400; 2.0; 14.0;65;0;0;1;1
org::eclipse::jdt::internal::codeassist::select::SelectionOnExplicitConstructorCall ;1;0; 16.0; 11.0;5;4;3;0; 0.0;3;393; 3.0; 34.0;61;0;0;1;4
org::eclipse::jdt::internal::core::util::HandleFactory ;20;0; 85.0; 50.0;23;1;10;0; 0.0;2;0; 5.0; 200.0;8;4;3;5;18
org::eclipse::jdt::internal::core::dom::rewrite::TrackedNodePosition ;2;0; 11.0; 7.0;2;1;3;0; 0.0;3;0; 3.0; 24.0;10;2;0;1;1
org::eclipse::jdt::internal::compiler::util::SimpleSetOfCharArray ;6;0; 27.0; 36.0;7;1;45;0; 3.0;9;0; 10.0; 103.0;16;0;1;3;4
org::eclipse::jdt::internal::core::dom::rewrite::ASTRewriteAnalyzer ;28;2; 547.0; 218.0;34;2;2080;0; 2.0;6;0; 65.0; 907.0;13;9;37;4;32
org::eclipse::jdt::internal::compiler::ast::ReturnStatement ;26;1; 81.0; 74.0;17;3;55;2; 4.0;10;380; 11.0; 217.0;38;0;1;2;15
org::eclipse::jdt::core::search::MethodDeclarationMatch ;0;0; 1.0; 1.0;2;2;0;0; 0.0;1;2; 1.0; 3.0;33;0;0;2;0
org::eclipse::jdt::internal::core::util::LocalVariableAttribute ;0;0; 5.0; 5.0;3;3;3;0; 0.0;3;1; 3.0; 21.0;31;3;0;1;2
org::eclipse::jdt::internal::core::builder::NameEnvironment ;14;0; 116.0; 79.0;19;1;36;0; 6.0;4;12; 9.0; 271.0;11;0;4;3;16
org::eclipse::jdt::core::dom::ParameterizedType ;6;0; 47.0; 22.0;10;3;91;0; 1.0;4;95; 14.0; 88.0;76;3;0;6;4
org::eclipse::jdt::internal::formatter::comment::Java2HTMLEntityReader ;4;0; 18.0; 12.0;5;2;1;0; 0.0;1;0; 2.0; 50.0;39;3;0;2;3
org::eclipse::jdt::internal::core::BufferFactoryWrapper ;0;0; 11.0; 10.0;6;2;15;0; 1.0;5;0; 6.0; 23.0;13;0;1;3;3
org::eclipse::jdt::internal::core::NameLookup ;35;0; 244.0; 181.0;29;1;171;0; 3.0;7;12; 19.0; 691.0;8;1;5;6;25
org::eclipse::jdt::internal::codeassist::complete::CompletionOnJavadocTag ;3;1; 24.0; 34.0;8;8;21;0; 1.0;7;507; 7.0; 115.0;120;1;0;3;5
org::eclipse::jdt::internal::compiler::util::HashtableOfObject ;1;0; 26.0; 33.0;17;1;45;0; 4.0;9;0; 10.0; 122.0;16;0;1;14;3
org::eclipse::jdt::internal::compiler::ast::ParameterizedQualifiedTypeReference ;32;1; 115.0; 91.0;16;7;36;2; 1.0;7;387; 9.0; 296.0;101;0;1;3;13
org::eclipse::jdt::internal::eval::EvaluationContext ;16;0; 76.0; 43.0;19;1;190;0; 16.0;17;26; 20.0; 332.0;8;0;1;4;16
org::eclipse::jdt::internal::compiler::ast::ContinueStatement ;6;0; 29.0; 17.0;9;4;6;0; 0.0;4;384; 4.0; 75.0;41;0;0;0;9
org::eclipse::jdt::internal::compiler::ast::ThrowStatement ;3;0; 28.0; 13.0;8;3;15;0; 2.0;6;380; 6.0; 44.0;38;0;0;1;7
org::eclipse::jdt::internal::core::SourceType ;36;0; 258.0; 121.0;42;6;1128;1; 0.0;45;69; 48.0; 480.0;250;0;0;6;39
org::eclipse::jdt::internal::core::util::StackMapFrame ;1;0; 24.0; 20.0;3;2;28;0; 0.0;7;0; 8.0; 127.0;25;8;0;1;2
org::eclipse::jdt::core::CheckDebugAttributes ;3;0; 28.0; 14.0;7;1;6;0; 0.0;3;0; 4.0; 50.0;0;2;1;0;7
org::eclipse::jdt::internal::core::ClasspathEntry ;36;4; 567.0; 396.0;46;1;946;0; 8.0;28;5; 44.0; 1340.0;21;8;10;21;27
org::eclipse::jdt::internal::core::jdom::DOMPackage ;3;0; 28.0; 12.0;6;3;36;0; 0.0;5;38; 9.0; 50.0;116;0;0;1;5
org::eclipse::jdt::internal::core::search::matching::PackageReferencePattern ;11;1; 14.0; 12.0;1;5;36;0; 0.0;5;61; 9.0; 40.0;49;0;0;0;1
org::eclipse::jdt::internal::core::JavaProjectElementInfo ;25;1; 82.0; 55.0;21;3;45;0; 1.0;1;3; 10.0; 251.0;17;1;3;3;20
org::eclipse::jdt::internal::core::SourceAnnotationMethodInfo ;3;0; 2.0; 1.0;1;7;1;0; 3.0;2;12; 2.0; 3.0;52;0;0;1;0
org::eclipse::jdt::internal::compiler::ast::ExtendedStringLiteral ;3;0; 11.0; 4.0;2;6;6;0; 0.0;4;386; 4.0; 29.0;85;0;0;1;1
org::eclipse::jdt::internal::core::builder::WorkQueue ;0;0; 16.0; 9.0;4;1;28;0; 0.0;8;0; 8.0; 28.0;8;2;0;3;1
org::eclipse::jdt::internal::core::SourceConstructorInfo ;0;0; 5.0; 4.0;1;6;10;0; 0.0;4;11; 5.0; 13.0;47;1;0;1;0
org::eclipse::jdt::internal::compiler::ast::ArrayQualifiedTypeReference ;4;0; 21.0; 12.0;8;6;15;2; 1.0;5;386; 6.0; 62.0;95;0;0;4;5
org::eclipse::jdt::internal::compiler::DocumentElementParser ;9;0; 308.0; 138.0;25;2;1711;0; 3.0;15;402; 59.0; 1200.0;8;8;2;1;24
org::eclipse::jdt::internal::core::builder::ImageBuilderInternalException ;1;0; 7.0; 4.0;2;1;3;0; 0.0;3;0; 3.0; 15.0;23;1;0;2;0
org::eclipse::jdt::internal::codeassist::complete::CompletionOnJavadocSingleTypeReference ;3;0; 26.0; 18.0;2;7;28;0; 1.0;8;396; 8.0; 55.0;102;0;0;1;1
org::eclipse::jdt::internal::compiler::ast::OperatorExpression ;4;0; 63.0; 73.0;5;4;300;4; 1.0;25;411; 25.0; 1520.0;69;0;0;4;1
org::eclipse::jdt::internal::core::search::TypeNameRequestorWrapper ;5;0; 3.0; 2.0;1;1;1;0; 1.0;2;0; 2.0; 6.0;9;0;0;0;1
org::eclipse::jdt::internal::codeassist::impl::AssistAnnotation ;1;0; 3.0; 2.0;5;5;1;0; 0.0;2;55; 2.0; 7.0;139;1;0;5;0
org::eclipse::jdt::core::dom::ArrayCreation ;9;0; 59.0; 27.0;6;3;120;0; 0.0;6;95; 16.0; 110.0;73;4;0;1;6
org::eclipse::jdt::internal::core::CompilationUnitStructureRequestor ;22;1; 252.0; 99.0;40;2;630;1; 0.0;16;0; 36.0; 525.0;36;0;2;3;38
org::eclipse::jdt::internal::compiler::ast::JavadocSingleTypeReference ;26;0; 29.0; 17.0;9;6;10;2; 3.0;2;385; 5.0; 66.0;95;0;0;2;7
org::eclipse::jdt::internal::core::builder::BatchImageBuilder ;28;1; 89.0; 66.0;15;2;78;0; 3.0;2;19; 13.0; 269.0;37;0;1;2;14
org::eclipse::jdt::internal::compiler::parser::AbstractCommentParser ;81;7; 329.0; 426.0;13;1;861;2; 4.0;1;78; 42.0; 1399.0;8;3;4;6;7
org::eclipse::jdt::internal::core::ResolvedBinaryField ;1;0; 8.0; 6.0;3;8;10;0; 0.0;4;69; 5.0; 23.0;243;1;0;3;1
org::eclipse::jdt::internal::core::index::Index ;18;1; 52.0; 53.0;23;1;78;0; 3.0;13;0; 13.0; 134.0;8;0;0;19;6
org::eclipse::jdt::internal::core::ExternalFoldersManager ;4;3; 86.0; 51.0;17;1;66;0; 0.0;9;0; 12.0; 192.0;8;5;3;11;9
org::eclipse::jdt::core::dom::BooleanLiteral ;5;0; 28.0; 14.0;2;3;66;0; 0.0;3;95; 12.0; 52.0;73;2;0;1;1
org::eclipse::jdt::internal::core::util::Disassembler ;33;1; 263.0; 159.0;18;2;561;1; 0.0;3;5; 34.0; 629.0;10;2;30;3;15
org::eclipse::jdt::internal::core::util::DOMFinder ;3;0; 14.0; 10.0;7;2;6;0; 2.0;3;0; 4.0; 28.0;13;5;0;2;6
org::eclipse::jdt::internal::compiler::lookup::VariableBinding ;3;0; 15.0; 11.0;29;2;28;2; 5.0;8;28; 8.0; 35.0;16;0;0;26;3
org::eclipse::jdt::internal::core::util::CodeSnippetParsingUtil ;13;0; 67.0; 19.0;15;1;15;0; 1.0;5;0; 6.0; 152.0;8;0;1;2;13
org::eclipse::jdt::internal::core::search::indexing::ReadWriteMonitor ;0;0; 21.0; 15.0;12;1;28;0; 0.0;8;0; 8.0; 52.0;8;1;0;10;2
org::eclipse::jdt::internal::core::JavaProject ;128;4; 664.0; 344.0;94;4;4753;1; 0.0;76;63; 98.0; 1607.0;177;2;11;52;50
org::eclipse::jdt::internal::compiler::flow::ExceptionHandlingFlowContext ;11;2; 47.0; 36.0;13;2;36;1; 8.0;9;141; 9.0; 139.0;35;0;0;5;9
org::eclipse::jdt::internal::core::search::matching::TypeReferenceLocator ;40;2; 107.0; 117.0;22;2;91;0; 0.0;3;68; 14.0; 343.0;33;1;0;1;22
org::eclipse::jdt::internal::core::JavaModelStatus ;15;0; 120.0; 89.0;15;2;91;0; 0.0;12;45; 14.0; 286.0;4;0;0;4;11
org::eclipse::jdt::core::dom::CatchClause ;8;0; 53.0; 27.0;5;2;91;0; 0.0;5;95; 14.0; 107.0;68;3;0;1;4
org::eclipse::jdt::internal::compiler::ast::JavadocArraySingleTypeReference ;6;0; 12.0; 4.0;3;7;6;0; 0.0;2;387; 4.0; 14.0;101;0;0;1;2
org::eclipse::jdt::internal::core::CreateMethodOperation ;9;0; 38.0; 17.0;12;4;28;0; 0.0;2;28; 8.0; 64.0;91;0;1;2;10
org::eclipse::jdt::internal::core::Buffer ;14;0; 83.0; 62.0;6;1;231;1; 0.0;18;0; 22.0; 275.0;25;0;0;1;5
org::eclipse::jdt::internal::core::search::matching::TypeParameterLocator ;1;1; 16.0; 27.0;5;2;21;0; 0.0;4;68; 7.0; 57.0;33;0;0;1;5
org::eclipse::jdt::internal::compiler::batch::ClasspathLocation ;7;0; 7.0; 4.0;4;1;1;2; 4.0;0;12; 2.0; 15.0;16;0;0;2;2
org::eclipse::jdt::internal::core::MemberValuePair ;1;0; 8.0; 13.0;3;1;10;0; 3.0;5;14; 5.0; 26.0;11;0;0;0;3
org::eclipse::jdt::core::dom::ConstructorInvocation ;7;0; 39.0; 23.0;4;3;78;0; 0.0;4;95; 13.0; 76.0;73;4;0;1;4
org::eclipse::jdt::internal::formatter::comment::CommentRegion ;4;0; 106.0; 54.0;12;1;351;1; 0.0;2;19; 27.0; 269.0;0;8;3;6;7
org::eclipse::jdt::internal::compiler::util::HashtableOfObjectToIntArray ;1;0; 24.0; 30.0;3;1;45;0; 4.0;9;0; 10.0; 117.0;16;0;1;1;2
org::eclipse::jdt::internal::core::search::indexing::RemoveFolderFromIndex ;6;0; 17.0; 15.0;5;2;3;0; 4.0;3;8; 3.0; 49.0;19;0;0;1;5
org::eclipse::jdt::internal::codeassist::SelectionEngine ;56;1; 265.0; 229.0;49;2;120;0; 11.0;6;13; 16.0; 1189.0;19;11;10;3;46
org::eclipse::jdt::internal::compiler::lookup::ImportBinding ;1;0; 12.0; 7.0;8;2;10;1; 4.0;5;28; 5.0; 21.0;16;0;0;5;3
org::eclipse::jdt::core::compiler::BuildContext ;3;0; 17.0; 20.0;3;2;28;0; 0.0;8;6; 8.0; 56.0;11;0;0;1;2
org::eclipse::jdt::internal::core::search::matching::PackageDeclarationLocator ;0;0; 4.0; 3.0;2;2;3;0; 0.0;2;68; 3.0; 11.0;33;0;0;1;1
